
@attribute Name string
@attribute Platform { Wii, NES, GB, DS, X360, PS3, PS2, SNES, GBA, 3DS, PS4, N64, PS, XB, PC, 2600, PSP, XOne, GC, WiiU, GEN, DC, PSV, SAT, SCD, WS, NG, TG16, 3DO, GG, PCFX }
@attribute Year { 2006, 1985, 2008, 2009, 1996, 1989, 1984, 2005, 1999, 2007, 2010, 2013, 2004, 1990, 1988, 2002, 2001, 2011, 1998, 2015, 2012, 2014, 1992, 1997, 1993, 1994, 1982, 2003, 1986, 2000, 1995, 2016, 1991, 1981, 1987, 1980, 1983, 2020, 2017 }
@attribute Genre { Sports, Platform, Racing, Role-Playing, Puzzle, Misc, Shooter, Simulation, Action, Fighting, Adventure, Strategy }
@attribute Publisher { Nintendo, Microsoft Game Studios, Take-Two Interactive, Sony Computer Entertainment, Activision, Ubisoft, Bethesda Softworks, Electronic Arts, Sega, SquareSoft, Atari, 505 Games, Capcom, GT Interactive, Konami Digital Entertainment, Sony Computer Entertainment Europe, Square Enix, LucasArts, Virgin Interactive, Warner Bros. Interactive Entertainment, Universal Interactive, Eidos Interactive, RedOctane, Vivendi Games, Enix Corporation, Namco Bandai Games, Palcom, Hasbro Interactive, THQ, Fox Interactive, Acclaim Entertainment, MTV Games, Disney Interactive Studios, Majesco Entertainment, Codemasters, Red Orb, Level 5, Arena Entertainment, Midway Games, JVC, Deep Silver, 989 Studios, NCSoft, UEP Systems, Parker Bros., Maxis, Imagic, Tecmo Koei, Valve Software, ASCII Entertainment, Mindscape, Infogrames, Unknown, Square, Valve, Activision Value, Banpresto, D3Publisher, Oxygen Interactive, Red Storm Entertainment, Video System, Hello Games, Global Star, Gotham Games, Westwood Studios, GungHo, Crave Entertainment, Hudson Soft, Coleco, Rising Star Games, Atlus, TDK Mediactive, ASC Games, Zoo Games, Accolade, Sony Online Entertainment, 3DO, RTL, Natsume, Focus Home Interactive, Alchemist, Black Label Games, SouthPeak Games, Mastertronic, Ocean, Zoo Digital Publishing, Psygnosis, City Interactive, Empire Interactive, Success, Compile, Russel, Taito, Agetec, GSP, Microprose, Play It, Slightly Mad Studios, Tomy Corporation, Sammy Corporation, Koch Media, Game Factory, Titus, Marvelous Entertainment, Genki, Mojang, Pinnacle, CTO SpA, TalonSoft, Crystal Dynamics, SCi, Quelle, mixi, Inc, Rage Software, Ubisoft Annecy, Scholastic Inc., Interplay, Mystique, ChunSoft, Square EA, 20th Century Fox Video Games, Avanquest Software, Hudson Entertainment, Nordic Games, Men-A-Vision, Nobilis, Big Ben Interactive, Touchstone, Spike, Jester Interactive, Nippon Ichi Software, LEGO Media, Quest, Illusion Softworks, Tigervision, Funbox Media, Rocket Company, Metro 3D, Mattel Interactive, IE Institute, Rondomedia, Sony Computer Entertainment America, Universal Gamex, Ghostlight, Wizard Video Games, BMG Interactive Entertainment, PQube, Trion Worlds, Laguna, Ignition Entertainment, Takara, Kadokawa Shoten, Destineer, Enterbrain, Xseed Games, Imagineer, System 3 Arcade Software, CPG Products, Aruze Corp, Gamebridge, Midas Interactive Entertainment, Jaleco, Answer Software, XS Games, Activision Blizzard, Pack In Soft, Rebellion, Xplosiv, GameMill Entertainment, Wanadoo, NovaLogic, Telltale Games, Epoch, BAM! Entertainment, Knowledge Adventure, Mastiff, Tetris Online, Harmonix Music Systems, ESP, TYO, Telegames, Mud Duck Productions, Screenlife, Pioneer LDC, Magical Company, Mentor Interactive, Kemco, Human Entertainment, Avanquest, Data Age, Electronic Arts Victor, Black Bean Games, Jack of All Games, 989 Sports, Takara Tomy, Media Rings, Elf, Starfish, Zushi Games, Jorudan, Destination Software, Inc, New, Brash Entertainment, ITT Family Games, PopCap Games, Home Entertainment Suppliers, Ackkstudios, Starpath Corp., P2 Games, BPS, Gathering of Developers, NewKidCo, Storm City Games, CokeM Interactive, CBS Electronics, Magix, Marvelous Interactive, Kalypso Media, Nihon Falcom Corporation, Wargaming.net, Angel Studios, Arc System Works, Playmates, SNK Playmore, Hamster Corporation, From Software, Nippon Columbia, Nichibutsu, Little Orbit, Conspiracy Entertainment, DTP Entertainment, Hect, Mumbo Jumbo, Pacific Century Cyber Works, Indie Games, Liquid Games, NEC, Axela, ArtDink, Sunsoft, Gust, SNK, NEC Interchannel, FuRyu, Xing Entertainment, ValuSoft, Victor Interactive, Detn8 Games, American Softworks, Nordcurrent, Bomb, Falcom Corporation, AQ Interactive, CCP, Milestone S.r.l., JoWood Productions, Seta Corporation, On Demand, NCS, Aspyr, Gremlin Interactive Ltd, Agatsuma Entertainment, Compile Heart, Culture Brain, Mad Catz, Shogakukan, Merscom LLC, Rebellion Developments, Nippon Telenet, TDK Core, bitComposer Games, Foreign Media Games, Astragon, SSI, Kadokawa Games, Idea Factory, Performance Designed Products, Asylum Entertainment, Core Design Ltd., PlayV, UFO Interactive, Idea Factory International, Playlogic Game Factory, Essential Games, Adeline Software, Funcom, Panther Software, Blast! Entertainment Ltd, Game Life, DSI Games, Avalon Interactive, Popcorn Arcade, Neko Entertainment, Vir2L Studios, Aques, Syscom, White Park Bay Software, System 3, Vatical Entertainment, Daedalic, EA Games, Media Factory, Vic Tokai, The Adventure Company, Game Arts, Broccoli, Acquire, General Entertainment, Excalibur Publishing, Imadio, Swing! Entertainment, Sony Music Entertainment, Aqua Plus, Paradox Interactive, Hip Interactive, DreamCatcher Interactive, Tripwire Interactive, Sting, Yacht Club Games, SCS Software, Bigben Interactive, Havas Interactive, Slitherine Software, Graffiti, Funsta, Telstar, U.S. Gold, DreamWorks Interactive, Data Design Interactive, MTO, DHM Interactive, FunSoft, SPS, Bohemia Interactive, Reef Entertainment, Tru Blu Entertainment, Moss, T&E Soft, O-Games, Aksys Games, NDA Productions, Data East, Time Warner Interactive, Gainax Network Systems, Daito, O3 Entertainment, Gameloft, Xicat Interactive, Simon & Schuster Interactive, Valcon Games, PopTop Software, TOHO, HMH Interactive, 5pb, Cave, CDV Software Entertainment, Microids, PM Studios, Paon, Micro Cabin, GameTek, Benesse, Type-Moon, Enjoy Gaming ltd., Asmik Corp, Interplay Productions, Asmik Ace Entertainment, inXile Entertainment, Image Epoch, Phantom EFX, Evolved Games, responDESIGN, Culture Publishers, Griffin International, Hackberry, Hearty Robin, Nippon Amuse, Origin Systems, Seventh Chord, Mitsui, Milestone, Abylight, Flight-Plan, Glams, Locus, Warp, Daedalic Entertainment, Alternative Software, Myelin Media, Mercury Games, Irem Software Engineering, Sunrise Interactive, Elite, Evolution Games, Tivola, Global A Entertainment, Edia, Athena, Aria, Gamecock, Tommo, Altron, Happinet, iWin, Media Works, Fortyfive, Revolution Software, Imax, Crimson Cow, 10TACLE Studios, Groove Games, Pack-In-Video, Insomniac Games, Ascaron Entertainment GmbH, Asgard, Ecole, Yumedia, Phenomedia, HAL Laboratory, Grand Prix Games, DigiCube, Creative Core, Kaga Create, WayForward Technologies, LSP Games, ASCII Media Works, Coconuts Japan, Arika, Ertain, Marvel Entertainment, Prototype, Phantagram, 1C Company, The Learning Company, TechnoSoft, Vap, Misawa, Tradewest, Team17 Software, Yeti, Pow, Navarre Corp, MediaQuest, Max Five, Comfort, Monte Christo Multimedia, Pony Canyon, Riverhillsoft, Summitsoft, Milestone S.r.l, Playmore, MLB.com, Kool Kizz, Flashpoint Games, 49Games, Legacy Interactive, Alawar Entertainment, CyberFront, Cloud Imperium Games Corporation, Societa, Virtual Play Games, Interchannel, Sonnet, Experience Inc., Zenrin, Iceberg Interactive, Ivolgamus, 2D Boy, MC2 Entertainment, Kando Games, Just Flight, Office Create, Mamba Games, Fields, Princess Soft, Maximum Family Games, Berkeley, Fuji, Dusenberry Martin Racing, imageepoch Inc., Big Fish Games, Her Interactive, Kamui, ASK, TopWare Interactive, Headup Games, KSS, Cygames, KID, Quinrose, Sunflowers, dramatic create, TGL, Encore, Extreme Entertainment Group, Intergrow, G.Rev, Sweets, Kokopeli Digital Studios, Number None, Nexon, id Software, BushiRoad, Tryfirst, Strategy First, 7G//AMES, GN Software, Yuke's, Easy Interactive, Licensed 4U, FuRyu Corporation, Lexicon Entertainment, Paon Corporation, Kids Station, GOA, Graphsim Entertainment, King Records, Introversion Software, Minato Station, Devolver Digital, Blue Byte, Gaga, Yamasa Entertainment, Plenty, Views, fonfun, NetRevo, Codemasters Online, Quintet, Phoenix Games, Dorart, Marvelous Games, Focus Multimedia, Imageworks, Karin Entertainment, Aerosoft, Technos Japan Corporation, Gakken, Mirai Shounen, Datam Polystar, Saurus, HuneX, Revolution (Japan), Giza10, Visco, Alvion, Mycom, Giga, Warashi, System Soft, Sold Out, Lighthouse Interactive, Masque Publishing, RED Entertainment, Michaelsoft, Media Entertainment, New World Computing, Genterprise, Interworks Unlimited, Inc., Boost On, Stainless Games, EON Digital Entertainment, Epic Games, Naxat Soft, Ascaron Entertainment, Piacci, Nitroplus, Paradox Development, Otomate, Ongakukan, Commseed, Inti Creates, Takuyo, Interchannel-Holon, Rain Games, UIG Entertainment }
@attribute Global_Sales string

@data
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,Ubisoft,1.11
Animal Kingdom: Wildlife Expedition,Wii,2009.0,Adventure,Natsume,0.08
Strikers 1945,PS,1998.0,Shooter,Midas Interactive Entertainment,0.12
Suikoden: Tsumugareshi Hyakunen no Toki,PSP,2012.0,Role-Playing,Konami Digital Entertainment,0.13
Princess Frontier Portable,PSP,2011.0,Adventure,Alchemist,0.02
Deadly Duck,2600,1981.0,Shooter,20th Century Fox Video Games,0.22
James Pond: Codename Robocod,GBA,2005.0,Platform,Play It,0.03
Test Drive Unlimited,PSP,2007.0,Racing,Atari,0.51
Custom Beat Battle: Draglade 2,DS,2008.0,Fighting,Namco Bandai Games,0.03
Scene It? Lights Camera Action,X360,2007.0,Misc,Microsoft Game Studios,0.48
Wonder World Amusement Park,Wii,2008.0,Misc,Majesco Entertainment,0.05
Just In Time Translations,DS,2009.0,Misc,THQ,0.11
Spectrobes: Beyond the Portals,DS,2008.0,Role-Playing,Disney Interactive Studios,0.52
Sonic & All-Stars Racing Transformed,PC,2013.0,Racing,Sega,0.01
Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.49
Classic NES Series: Castlevania,GBA,2004.0,Platform,Nintendo,0.33
Medal of Honor European Assault,GC,2005.0,Shooter,Electronic Arts,0.25
Monster Jam: Urban Assault,PS2,2008.0,Racing,Activision,0.13
Vanquish,PS3,2010.0,Shooter,Sega,0.62
Bentley's Hackpack,GBA,2005.0,Misc,?,0.93
MotionSports: Adrenaline,X360,2011.0,Sports,Ubisoft,0.27
SingStar Summer Party,PS2,2008.0,Misc,Sony Computer Entertainment,0.54
Satisfashion,Wii,2010.0,Misc,Destineer,0.01
Just Cause,X360,2006.0,Action,Eidos Interactive,0.14
Hamster Heroes,Wii,2008.0,Puzzle,Popcorn Arcade,0.16
Dark Souls III,PS4,2016.0,Role-Playing,Namco Bandai Games,1.56
Petz Rescue: Wildlife Vet,Wii,2008.0,Simulation,Ubisoft,0.23
Pac-Man World 2,PS2,2002.0,Action,Namco Bandai Games,1.51
Mobile Suit Gundam: Zeonic Front,PS2,2001.0,Simulation,Namco Bandai Games,0.43
J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.69
TouchMaster 2,DS,2008.0,Puzzle,Midway Games,0.9
Spider-Man: Friend or Foe,PC,2007.0,Action,Activision,0.01
Tenchi Muyou! Ryoukouki Gokuraku,SAT,1995.0,Adventure,Yumedia,0.06
Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,0.11
KISS Pinball,PS,2001.0,Action,Take-Two Interactive,0.31
Speed Racer,PS,1996.0,Racing,Tomy Corporation,0.07
Kamen Rider Battle: Ganbaride,DS,2010.0,Strategy,Namco Bandai Games,0.14
Metro 2033,PC,2010.0,Shooter,THQ,0.24
Avatar: The Game,PS3,2009.0,Action,Ubisoft,0.91
Tales of Innocence,DS,2007.0,Role-Playing,Namco Bandai Games,0.26
Tornado,DS,,Action,Ignition Entertainment,0.07
City Builder,Wii,2010.0,Misc,Virtual Play Games,0.04
Luxor 3,Wii,2008.0,Puzzle,Mumbo Jumbo,0.17
Borderlands,PS3,2009.0,Shooter,Take-Two Interactive,2.11
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,PS,2000.0,Sports,Konami Digital Entertainment,0.15
Star Wars: The Force Unleashed II,X360,2010.0,Action,LucasArts,1.47
Akai Ito DS,DS,2008.0,Adventure,Alchemist,0.02
Adventures of Lolo,NES,1989.0,Puzzle,HAL Laboratory,0.06
Vandal Hearts II,PS,1999.0,Strategy,Konami Digital Entertainment,0.1
7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,0.16
Kung Fu Panda 2,Wii,2011.0,Action,THQ,0.14
Art Academy: Lessons for Everyone,3DS,2012.0,Action,Nintendo,0.46
Romance of the Three Kingdoms 13,PS4,2015.0,Action,Tecmo Koei,0.06
MX vs. ATV Unleashed,PS2,2005.0,Racing,THQ,1.03
Aqua Panic!,DS,2009.0,Puzzle,Neko Entertainment,0.02
Time Leap,X360,2009.0,Adventure,Prototype,0.01
SplashDown: Rides Gone Wild,PS2,2003.0,Racing,THQ,0.5
NBA Jam 2000,N64,1999.0,Sports,Acclaim Entertainment,0.13
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010.0,Misc,Alchemist,0.02
Disney Sing It: Family Hits,Wii,2010.0,Misc,Disney Interactive Studios,0.61
Twisted Edge Extreme Snowboarding,N64,1998.0,Sports,Kemco,0.2
Donkey Kong Land III,GB,,Platform,Nintendo,1.03
The Legend of Heroes: Trails in the Sky Third Chapter,PSP,2008.0,Role-Playing,Falcom Corporation,0.07
Chaos;Child,PS3,2015.0,Adventure,5pb,0.01
Etrian Odyssey II: Heroes of Lagaard,DS,2008.0,Role-Playing,Atlus,0.27
Battlefield: Bad Company,X360,2008.0,Shooter,Electronic Arts,1.46
To Heart 2 DX Plus,PS3,2011.0,Adventure,Aqua Plus,0.05
Dead or Alive Paradise,PSP,2010.0,Misc,Ubisoft Annecy,0.17
Twisted Metal,PS,1995.0,Action,Sony Computer Entertainment,1.56
Toukiden 2,PS4,2016.0,Action,Tecmo Koei,0.08
Kuma-Tomo,3DS,2013.0,Misc,Namco Bandai Games,0.19
Defender,PS2,2002.0,Misc,Midway Games,0.4
Dynasty Tactics,PS2,2002.0,Strategy,Tecmo Koei,0.29
Medal of Honor: Underground,PS,2000.0,Shooter,Electronic Arts,0.97
Darkstalkers 3,PS,1998.0,Fighting,Capcom,0.19
New Prince of Tennis: Go to the Top,3DS,2015.0,Action,FuRyu,0.05
Face Racers: Photo Finish,3DS,,Racing,Majesco Entertainment,0.08
SSX,X360,2012.0,Sports,Electronic Arts,0.72
EA Sports UFC,XOne,2014.0,Sports,Electronic Arts,0.46
Johnny Bazookatone,PS,1995.0,Platform,U.S. Gold,0.05
FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.76
Tiger Woods PGA Tour 10,PS3,2009.0,Sports,Electronic Arts,0.79
Lucky * Star: Ryouou Gakuen Outousai,PS2,2008.0,Adventure,Kadokawa Shoten,0.1
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014.0,Fighting,Namco Bandai Games,0.47
Arcade Party Pak,PS,1999.0,Misc,Midway Games,0.11
Capcom Classics Collection Reloaded,PSP,2006.0,Misc,Capcom,0.33
IL-2 Sturmovik: Birds of Prey,X360,2009.0,Simulation,505 Games,0.52
Vampire Rain: Altered Species,PS3,2008.0,Action,Ignition Entertainment,0.06
Demon Chaos,PS2,,Action,Konami Digital Entertainment,0.09
Rez,PS2,2001.0,Shooter,Sony Computer Entertainment,0.05
Baby Pals,DS,2007.0,Simulation,THQ,0.28
The X-Factor,Wii,2010.0,Misc,Deep Silver,0.33
Royal Palace of White Sword and The City of Gentiles,PS2,2005.0,Role-Playing,Take-Two Interactive,1.14
Dead or Alive 4,X360,2005.0,Fighting,Tecmo Koei,0.47
Disney's DuckTales,NES,1989.0,Platform,Capcom,1.67
Double Pack: Finding Nemo / The Incredibles,XB,2006.0,Action,THQ,0.42
Tomb Raider (2013),PS4,2014.0,Action,Square Enix,1.41
Charlie Blasts Territory,N64,1999.0,Action,Kemco,0.03
Disney's Meet the Robinsons,DS,2007.0,Action,Disney Interactive Studios,0.02
Battle Spirits: Kiseki no Hasha,PSP,2009.0,Role-Playing,Namco Bandai Games,0.02
Mario Tennis,Wii,2010.0,Sports,Nintendo,0.07
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,6.11
Chicken Hunter,DS,2007.0,Shooter,Phoenix Games,0.02
Xia-Xia,DS,2012.0,Platform,?,0.02
Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,505 Games,0.61
Prisoner of War,XB,2002.0,Adventure,Atari,0.08
State of Decay,XOne,2015.0,Strategy,Microsoft Game Studios,0.2
Ao no Kanata no Four Rhythm,PSV,2016.0,Adventure,Unknown,0.03
PenPen TriIceLon,DC,1998.0,Racing,Infogrames,0.06
Gun Showdown,PSP,2006.0,Action,Activision,0.06
NBA Live 14,XOne,2013.0,Sports,Electronic Arts,0.19
Deus Ex: Mankind Divided,PS4,2016.0,Role-Playing,Square Enix,0.33
Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.63
The Sims 2: Castaway,PS2,2007.0,Simulation,Electronic Arts,0.37
Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.03
PGA Tour 96,PS,1995.0,Sports,Electronic Arts,0.24
LEGO City Undercover,3DS,2013.0,Platform,Nintendo,1.46
Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,DS,2007.0,Simulation,Konami Digital Entertainment,0.1
Far Cry: Primal,PS4,2016.0,Action,Ubisoft,2.13
Pro Yaky? Spirits 2013,PSP,2013.0,Sports,Konami Digital Entertainment,0.2
Raving Rabbids: Travel in Time 3D,3DS,2011.0,Platform,Ubisoft,0.38
The Idolmaster: Gravure For You! Vol. 3,PS3,2011.0,Misc,Namco Bandai Games,0.08
Hot Wheels: Battle Force 5,Wii,2009.0,Racing,Activision,0.19
Perfect Weapon,PS,1996.0,Action,American Softworks,0.23
Legend of Kay,DS,2010.0,Action,JoWood Productions,0.06
Namco Museum Vol.2,PS,1996.0,Misc,Sony Computer Entertainment,0.29
F.E.A.R.,PS3,2007.0,Shooter,Vivendi Games,0.55
Kingdom Hearts Re:coded,DS,2010.0,Role-Playing,Square Enix,0.98
Phoenix Wright: Ace Attorney Trilogy,3DS,2014.0,Adventure,Capcom,0.02
FIFA 16,PS4,2015.0,Sports,Electronic Arts,8.49
Winning Post 2,SNES,1995.0,Sports,Tecmo Koei,0.3
Gunship,PS,1996.0,Simulation,Microprose,0.27
Wreckless: ThE YaKuza MisSiOns,PS2,2002.0,Racing,Activision,0.22
Bionicle Heroes,X360,2006.0,Shooter,Eidos Interactive,0.07
Pac-Man World Rally,PS2,2006.0,Racing,Namco Bandai Games,0.02
Misshitsu no Sacrifice,PSP,2010.0,Adventure,D3Publisher,0.02
Oumagatoki: Kaidan Romance,PSP,2012.0,Action,Quinrose,0.03
Great Party Games,Wii,2010.0,Misc,O-Games,0.09
Actua Tennis,PS,1997.0,Sports,Gremlin Interactive Ltd,0.13
Q*bert,2600,1982.0,Puzzle,Parker Bros.,0.58
Super Trucks Racing,PS2,2002.0,Racing,Jester Interactive,0.71
Diablo,PC,1996.0,Role-Playing,Activision,1.59
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.27
Black/Matrix,SAT,1998.0,Strategy,NEC Interchannel,0.08
Dead Space 2,X360,2011.0,Shooter,Electronic Arts,1.52
Wario: Master of Disguise,DS,2007.0,Platform,Nintendo,0.66
Descent,PS,1996.0,Shooter,Interplay,0.19
Gallop Racer 2004,PS2,2004.0,Sports,Zoo Digital Publishing,0.06
MLB Power Pros 2008,PS2,2008.0,Sports,Konami Digital Entertainment,0.15
King's Field,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.16
Surf's Up,GC,2007.0,Sports,Ubisoft,0.01
Ontamarama,DS,2007.0,Action,Atlus,0.05
King's Field II,PS,1996.0,Role-Playing,From Software,0.26
Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.82
7th Dragon 2020-II,PSP,2013.0,Role-Playing,Sega,0.13
Go Vacation,Wii,2011.0,Misc,Namco Bandai Games,1.65
Rocky Balboa,PSP,2007.0,Sports,Ubisoft,0.11
Fox Sports College Hoops '99,N64,1998.0,Sports,Fox Interactive,0.25
Assassin's Creed Syndicate,PC,2015.0,Action,Ubisoft,0.2
Cruis'n,Wii,2007.0,Racing,Midway Games,0.12
The Sims 3: Generations,PC,2011.0,Simulation,Electronic Arts,0.63
Cardfight!! Vanguard: Lock On Victory!!,3DS,2014.0,Misc,FuRyu,0.07
Juiced: Eliminator,PSP,2006.0,Racing,THQ,0.43
NBA 2K14,XOne,2013.0,Sports,Take-Two Interactive,0.87
12-Sai. Koisuru Diary,3DS,2016.0,Adventure,Happinet,0.04
MySims Party,Wii,2009.0,Simulation,Electronic Arts,0.23
Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.59
Starsky & Hutch,XB,2003.0,Racing,Empire Interactive,0.23
Arctic Tale,Wii,2007.0,Adventure,Zoo Digital Publishing,0.05
Harry Potter and the Chamber of Secrets,GBA,2002.0,Action,Electronic Arts,1.99
Sonic Generations,X360,2011.0,Platform,Sega,1.42
Vitamin Z,PS2,2009.0,Adventure,D3Publisher,0.03
Donkey Kong Country,GBA,2003.0,Platform,Nintendo,2.04
Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,0.57
FIFA Soccer 07,XB,2006.0,Sports,Electronic Arts,0.54
City Life: World Edition,PC,2007.0,Simulation,Monte Christo Multimedia,0.05
Imagine: Interior Designer,DS,2008.0,Simulation,Ubisoft,0.73
Block Kuzushi,SNES,1995.0,Puzzle,Pow,0.05
Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,2.08
Heatseeker,PSP,2007.0,Action,Codemasters,0.04
Elminage II DS Remix: Sousei no Megami to Unmai no Daichi,DS,2010.0,Role-Playing,Starfish,0.02
Orphen: Scion of Sorcery,PS2,2000.0,Role-Playing,Activision,0.31
Glover,N64,1998.0,Platform,Hasbro Interactive,0.91
Nonomura Byoin no Hitobito,SAT,1996.0,Adventure,Elf,0.36
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,5.13
F-14 Tomcat,GBA,2001.0,Action,Majesco Entertainment,0.7
Cabela's Adventure Camp,X360,2011.0,Misc,Activision,0.1
Mother Goose no Himitsu no Yakata,PSP,2011.0,Adventure,Quinrose,0.03
Championship Manager 99/00,PC,1999.0,Sports,Eidos Interactive,1.07
The Lord of the Rings: The Return of the King,GBA,2003.0,Action,Electronic Arts,0.56
Imagine: Ballet Star,DS,2008.0,Simulation,Ubisoft,0.25
NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,0.17
Ninja Warriors,SNES,1993.0,Action,Titus,0.07
L.A. Noire,X360,2011.0,Adventure,Take-Two Interactive,2.72
Injustice: Gods Among Us,PSV,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.14
Castlevania: Lords of Shadow 2,X360,2014.0,Action,Konami Digital Entertainment,0.1
All Japan Pro Wrestling featuring Virtua,SAT,1997.0,Fighting,Sega,0.15
Jikkyou Powerful Major League,PS2,2006.0,Sports,Konami Digital Entertainment,0.22
Yogi Bear: The Video Game,Wii,2010.0,Action,D3Publisher,0.12
Minna no DS Seminar: Kanpeki Eitango Ryoku,DS,2006.0,Misc,TDK Core,0.06
Crash Bandicoot 2: N-Tranced,GBA,2003.0,Platform,Vivendi Games,1.36
Moon,DS,2009.0,Adventure,Mastiff,0.05
Warship Gunner 2,PS2,2006.0,Simulation,Tecmo Koei,0.03
Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,PS2,2010.0,Role-Playing,Namco Bandai Games,0.02
Surf's Up,PSP,2007.0,Sports,Ubisoft,0.11
Dead Island: Riptide,X360,2013.0,Action,Deep Silver,0.79
Reactor,2600,1981.0,Action,Parker Bros.,0.22
Burger Island,Wii,2009.0,Action,Destineer,0.15
1/2 Summer +,PSP,2013.0,Adventure,Kaga Create,0.01
Zumba Fitness Core,X360,2012.0,Misc,505 Games,0.07
Sonic Riders: Zero Gravity,PS2,2008.0,Racing,Sega,0.18
Justice League Heroes,PSP,2006.0,Role-Playing,Eidos Interactive,0.22
Monster Rancher Hop-A-Bout,PS,2000.0,Action,Tecmo Koei,0.03
DmC: Devil May Cry,XOne,2015.0,Action,Capcom,0.13
Tiger Woods PGA Tour 09,PS3,2008.0,Sports,Electronic Arts,0.66
Madden NFL 13,X360,2012.0,Sports,Electronic Arts,2.86
Sherlock Holmes: Crimes & Punishments,X360,2014.0,Adventure,Focus Home Interactive,0.06
X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Role-Playing,Activision,0.63
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004.0,Action,Konami Digital Entertainment,0.32
Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,2.21
Aliens vs Predator,X360,2010.0,Shooter,Sega,1.06
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,Square Enix,0.73
Darkest of Days,X360,2009.0,Shooter,Phantom EFX,0.09
Petz: Catz 2,Wii,2007.0,Simulation,Ubisoft,0.45
The Simpsons: Hit & Run,XB,2003.0,Racing,Vivendi Games,1.35
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006.0,Action,Capcom,2.21
Rocket Power: Beach Bandits,GBA,2002.0,Platform,THQ,0.28
Mass Effect Trilogy,PC,2012.0,Action,Electronic Arts,0.28
Game of Thrones,PS3,2012.0,Role-Playing,Focus Home Interactive,0.25
Star Ocean: The Second Story,PS,1998.0,Role-Playing,Sony Computer Entertainment,1.1
NBA Street,GC,2002.0,Sports,Electronic Arts,0.42
X-Men: The Official Game,XB,2006.0,Action,Activision,0.1
Shaun White Snowboarding,PSP,2008.0,Sports,Ubisoft,0.32
Michael Jackson: The Experience,X360,2011.0,Misc,Ubisoft,0.88
Naruto: Path of the Ninja 2,DS,2006.0,Role-Playing,Takara Tomy,0.23
Rogue Trip: Vacation 2012,PS,1998.0,Racing,GT Interactive,0.38
Vampire Mansion: Linda Hyde,DS,2011.0,Adventure,Unknown,0.02
Tony Hawk's Proving Ground,PS3,2007.0,Sports,Activision,0.45
MySims Racing,Wii,2009.0,Racing,Electronic Arts,0.47
Scene It? Twilight,Wii,2009.0,Misc,Konami Digital Entertainment,0.27
Zombie Army Trilogy,XOne,2015.0,Shooter,Rebellion Developments,0.1
Serious Sam HD: Gold Edition,X360,2011.0,Shooter,Mastertronic,0.02
Disney Planes Fire & Rescue,WiiU,2014.0,Action,Disney Interactive Studios,0.03
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007.0,Action,Tecmo Koei,0.33
Deer Drive,Wii,2009.0,Sports,Big Ben Interactive,0.76
Rugby World Cup 2015,PS4,2015.0,Sports,Ubisoft,0.06
Monopoly Party,GC,2002.0,Misc,Infogrames,0.13
Tiger & Bunny: On-Air Jack!,PSP,2012.0,Action,Namco Bandai Games,0.03
Team Elimination Games,Wii,2009.0,Misc,Ubisoft,0.09
Mata Hari: Betrayal is only a Kiss Away,PC,2008.0,Adventure,DTP Entertainment,0.02
Dungeon Hunter Alliance,PSV,2012.0,Action,Ubisoft,0.22
Mario Party Advance,GBA,2005.0,Misc,Nintendo,0.98
Tiger Woods PGA Tour 07,PS2,2006.0,Sports,Electronic Arts,0.72
Power Stakes,PS,1997.0,Sports,Aques,0.16
