//@relation converted_csv
@attribute Rank numeric
@attribute Name string
@attribute Platform string
@attribute Year numeric
@attribute Genre string
@attribute Publisher string
@attribute NA_Sales numeric
@attribute EU_Sales numeric
@attribute JP_Sales numeric
@attribute Other_Sales numeric
@attribute Global_Sales numeric

@data
383,Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
14437,StormLover,PSP,2010,Adventure,D3Publisher,0,0,0.03,0,0.03
487,WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94
7943,One Piece: Unlimited Adventure,Wii,2007,Adventure,Namco Bandai Games,0.07,0,0.11,0.01,0.19
15873,V-Rally 3,XB,2003,Racing,Atari,0.01,0,0,0,0.02
15629,Tomb Raider: Legend,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02
10466,Learn Chess,DS,2009,Misc,DreamCatcher Interactive,0.1,0,0,0.01,0.1
13394,The Berenstain Bears and the Spooky Old Tree,GBA,2005,Platform,Namco Bandai Games,0.03,0.01,0,0,0.05
9287,World Soccer Winning Eleven 9 Bonus Pack,PS2,2006,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14
13381,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,2011,Adventure,ChunSoft,0,0,0.05,0,0.05
594,Killzone: Shadow Fall,PS4,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0,0,0.14,0,0.14
13202,Cartoon Network Block Party,GBA,2004,Misc,Majesco Entertainment,0.03,0.01,0,0,0.05
5215,AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.36
1578,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26
8512,Kamaitachi no Yoru × 3,PS2,2006,Adventure,Sega,0,0,0.16,0,0.16
11589,Bleach: Heat the Soul 4,PSP,2007,Fighting,Sony Computer Entertainment,0,0,0.08,0,0.08
12438,Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,2010,Fighting,Takara Tomy,0,0,0.06,0,0.06
3153,X2: Wolverine's Revenge,PS2,2003,Platform,Activision,0.31,0.24,0,0.08,0.64
2513,Street Fighter V,PS4,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
900,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,1.03,0.8,0,0.09,1.92
3957,Pro Evolution Soccer 2012,X360,2011,Action,Konami Digital Entertainment,0.1,0.34,0,0.07,0.5
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0,0,0.41,0,0.41
561,Burnout 3: Takedown,PS2,2004,Racing,Electronic Arts,1.23,1.11,0,0.34,2.68
13675,Dark Half,SNES,1996,Role-Playing,Enix Corporation,0,0,0.04,0,0.04
8620,Shaun White Skateboarding,X360,2010,Sports,Ubisoft,0.1,0.05,0,0.01,0.16
4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Misc,Konami Digital Entertainment,0,0,0.4,0.01,0.41
731,Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,1.03,0.98,0,0.21,2.22
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
2060,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1
3893,The Saboteur,X360,2009,Action,Electronic Arts,0.26,0.21,0,0.05,0.51
322,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
10030,Shining Force NEO,PS2,2005,Role-Playing,Sega,0.06,0.04,0,0.01,0.11
12387,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06
5248,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36
12925,Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision,0.04,0.01,0,0,0.05
3954,Wet,X360,nan,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.17,0.21,0,0.07,0.45
5671,All-Star Baseball 2005,PS2,nan,Sports,Unknown,0.16,0.12,0,0.04,0.32
16165,Tiger Woods PGA Tour 2005,PC,2004,Sports,Electronic Arts,0,0.01,0,0,0.01
3819,Silent Hill: Origins,PSP,2007,Action,Konami Digital Entertainment,0.22,0.16,0.04,0.1,0.53
572,Skylanders Giants,Wii,2012,Action,Activision,1.56,0.88,0,0.22,2.65
7699,Jikkyou Powerful Pro Yakyuu 2010,PSP,2010,Sports,Konami Digital Entertainment,0,0,0.2,0,0.2
6362,Rock Revolution,X360,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27
264,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
7441,Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21
11184,Jimmy Neutron: Boy Genius,GC,2002,Platform,THQ,0.07,0.02,0,0,0.09
13699,Catwoman,GBA,2004,Action,Electronic Arts,0.03,0.01,0,0,0.04
7742,ESA Foundation Compilation,PS2,2005,Misc,Sony Computer Entertainment,0.1,0.07,0,0.02,0.19
12099,Pro Yaky? Spirits 2014,PSV,2014,Sports,Konami Digital Entertainment,0,0,0.07,0,0.07
13906,Saints Row 2,PC,2009,Action,THQ,0,0.03,0,0.01,0.04
7551,Ashes Cricket 2009,X360,2009,Sports,Codemasters,0,0.19,0,0.01,0.2
2557,NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0,0,0.06,0.81
11113,Deadliest Catch: Sea of Chaos,X360,2010,Sports,Crave Entertainment,0.08,0,0,0.01,0.09
6277,Dynasty Warriors,PS,1997,Action,Tecmo Koei,0.09,0.06,0.11,0.02,0.27
3110,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,Misc,THQ,0.47,0.17,0,0.01,0.65
5799,Music Maker,PS2,2001,Misc,Magix,0.15,0.12,0,0.04,0.31
6296,Resident Evil: Deadly Silence,DS,2006,Action,Capcom,0.12,0.03,0.11,0.01,0.27
6027,Xena: Warrior Princess - The Talisman of Fate,N64,1999,Fighting,Titus,0.23,0.06,0,0,0.29
14948,Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,0,0.02,0,0,0.02
13838,The Sims 4: Spa Day,PC,2015,Simulation,Electronic Arts,0,0.04,0,0,0.04
615,PES 2009: Pro Evolution Soccer,PS2,2008,Sports,Konami Digital Entertainment,0.13,0.07,0.26,2.05,2.5
15868,PDC World Championship Darts 2008,DS,nan,Sports,Unknown,0.01,0,0,0,0.02
10905,Alien Monster Bowling League,Wii,2009,Sports,Destineer,0.09,0,0,0.01,0.09
13313,Beyond Oasis,GEN,1993,Role-Playing,Sega,0,0,0.05,0,0.05
11133,Ikaruga,GC,2003,Shooter,Atari,0.07,0.02,0,0,0.09
13920,Rodea the Sky Soldier,3DS,2015,Action,Nippon Ichi Software,0.03,0,0,0,0.04
8931,All-Star Baseball 2005,XB,nan,Sports,Unknown,0.11,0.03,0,0.01,0.15
1126,Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63
6308,Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0,0,0.27,0,0.27
5322,Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35
6437,Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.06,0,0.02,0.27
10478,Nicktoons: MLB,DS,2011,Sports,Take-Two Interactive,0.1,0,0,0.01,0.1
3086,Gods Eater Burst,PSP,2010,Action,Namco Bandai Games,0.03,0,0.62,0,0.66
676,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,1.68,0.46,0.01,0.2,2.35
10521,God Eater 2: Rage Burst,PS4,2015,Role-Playing,Namco Bandai Games,0,0.01,0.09,0,0.1
1674,Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
6873,Ready 2 Rumble Boxing: Round 2,N64,2000,Fighting,Midway Games,0.19,0.05,0,0,0.24
4275,Farming Simulator 2015,PS3,2015,Simulation,Koch Media,0.11,0.28,0,0.07,0.46
4770,Disney's Tarzan Untamed,PS2,2001,Platform,Ubisoft,0.2,0.16,0,0.05,0.41
12601,Jewel Legends: Tree of Life,DS,2011,Puzzle,Rising Star Games,0,0.05,0,0.01,0.06
10272,Backyard Baseball '10,Wii,2009,Sports,Atari,0.1,0,0,0.01,0.11
6176,Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,0.21,0.06,0,0.01,0.28
15353,Cabela's Big Game Hunter: Pro Hunts,WiiU,2014,Shooter,Activision,0.02,0,0,0,0.02
7216,Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,0.16,0.06,0,0,0.22
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
1717,Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.07,0.04,0.66,1.18
8730,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.13,0.02,0,0.01,0.15
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
16202,Casper,GBA,2002,Adventure,Microids,0.01,0,0,0,0.01
2909,Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,0.39,0.27,0,0.05,0.7
4458,SpongeBob SquarePants: Lights Camera Pants!,GC,2005,Misc,THQ,0.34,0.09,0,0.01,0.44
4028,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015,Action,Square Enix,0,0,0.49,0,0.49
2549,Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
5745,SD Gundam G Generation Wars,PS2,2009,Strategy,Namco Bandai Games,0,0,0.31,0,0.31
10631,L'Aigle de Guerre,GBA,2001,Strategy,Nintendo,0,0,0.1,0,0.1
10865,PAC-MAN and the Ghostly Adventures,3DS,2013,Platform,Namco Bandai Games,0.05,0.04,0,0.01,0.09
12480,Winter Sports 2: The Next Challenge,DS,2008,Sports,RTL,0.04,0.02,0,0.01,0.06
8336,James Cameron's Dark Angel,PS2,nan,Action,Universal Interactive,0.08,0.07,0,0.02,0.17
384,Monster Hunter 4,3DS,2013,Role-Playing,Capcom,0,0,3.44,0,3.44
14938,Yes! Precure 5 Go Go Zenin Shu Go! Dream Festival,DS,2008,Action,Namco Bandai Games,0,0,0.02,0,0.02
12357,Star Fighter,PS,1995,Shooter,Telstar,0.04,0.02,0,0,0.06
14388,Last Escort: Club Katze,PSP,2010,Adventure,D3Publisher,0,0,0.03,0,0.03
15386,Samurai & Dragons,PSV,2012,Action,Sega,0,0,0.02,0,0.02
12143,Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,0.05,0.02,0,0,0.07
9897,Battles of Prince of Persia,DS,2005,Strategy,Ubisoft,0.1,0.01,0,0.01,0.12
14886,Tank Beat,DS,2006,Strategy,Midas Interactive Entertainment,0.01,0.01,0,0,0.03
8633,LEGO The Lord of the Rings,DS,2012,Action,Warner Bros. Interactive Entertainment,0,0.14,0,0.02,0.16
8729,Warhammer 40000: Fire Warrior,PS2,2003,Shooter,THQ,0.08,0.06,0,0.02,0.15
1736,Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.22,1.17
13184,Lupin III: Lupin ni wa Shi o Zenigata ni wa Koi o,PS2,2007,Adventure,505 Games,0,0,0.05,0,0.05
7835,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19
14524,Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,Action,Takara Tomy,0,0,0.03,0,0.03
16484,Dengeki Gakuen RPG: Cross of Venus Special,DS,2011,Role-Playing,ASCII Media Works,0,0,0.01,0,0.01
1887,Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09
4607,Superman: Shadow of Apokolips,PS2,2002,Action,Atari,0.21,0.16,0,0.05,0.42
13903,Tokumei Sentai Go-Busters,DS,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04
3599,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56
6435,Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.1,0,0.03,0.27
15569,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8,PS3,2016,Misc,Namco Bandai Games,0,0,0.02,0,0.02
8176,Biohazard: Revival Selection,PS3,2011,Action,Capcom,0,0,0.18,0,0.18
14874,Starry ? Sky: In Autumn,PSP,2010,Misc,Asgard,0,0,0.03,0,0.03
6161,Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,0.16,0.06,0,0.05,0.28
7142,Def Jam: Fight for NY,GC,2004,Fighting,Electronic Arts,0.17,0.05,0,0.01,0.22
15805,Football Academy,DS,2009,Sports,Electronic Arts,0,0.01,0,0,0.02
5555,Folklore,PS3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.05,0.05,0.03,0.33
13325,World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006,Misc,Activision,0.04,0,0,0,0.05
12935,Chaos;Child,PSV,2015,Adventure,5pb,0,0,0.05,0,0.05
8252,Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,Activision,0.16,0,0,0.01,0.17
7996,Phantasy Star Online Ver. 2,DC,2001,Role-Playing,Sega,0,0,0.19,0,0.19
8390,VR Golf '97,PS,1996,Sports,Gremlin Interactive Ltd,0.09,0.06,0,0.01,0.17
15921,Magic Encyclopedia: Moonlight,DS,2010,Misc,Foreign Media Games,0,0.01,0,0,0.02
11486,Samurai Western,PS2,2004,Action,505 Games,0.04,0.03,0,0.01,0.08
5970,Need for Speed Underground,GBA,2003,Racing,Electronic Arts,0.21,0.08,0,0.01,0.29
6212,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.1,0.03,0.12,0.04,0.28
15101,ScrapLand,XB,2005,Action,Deep Silver,0.02,0,0,0,0.02
7304,Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.07,0,0.03,0.22
